Name,Pos,Group,Nationality,GP,TOI_GP,ES_TOI_GP,PP_TOI_GP,SH_TOI_GP,G_60,A_60,SOG_60,BLK_60,HIT_60,PP_PTS_60,ES_TOI_GP,PP_TOI_GP,SH_TOI_GP,PIM_GP,Fights,xGF_pct_5v5,ixG_60_5v5,Height_in,Weight_lbs,BMI,Cluster,Auto_Label
Evan Bouchard,D,D,CAN,327.0,22.38572884811417,18.52288481141692,3.144954128440367,0.7178899082568807,0.5,1.828,6.82,3.205,1.852,0.877,18.52288481141692,3.144954128440367,0.7178899082568807,0.373,0,59.12,0.285,75.0,192.0,24.0,1,Playmaker
Jakob Chychrun,D,D,CAN,284.0,22.344718309859157,19.32241784037559,2.6720657276995303,0.3502347417840374,0.652,1.059,7.072,4.141,2.307,0.539,19.32241784037559,2.6720657276995303,0.3502347417840374,0.718,2,49.71,0.287,74.0,215.0,27.6,1,Playmaker
Josh Morrissey,D,D,CAN,316.0,24.35532700421941,20.651160337552746,3.236023206751055,0.4681434599156118,0.421,1.622,5.348,3.532,2.058,0.663,20.651160337552746,3.236023206751055,0.4681434599156118,0.434,1,53.39,0.221,72.0,195.0,26.44,1,Playmaker
Matthew Schaefer,D,D,CAN,82.0,24.65,20.266666666666666,3.2999999999999994,1.0833333333333333,0.683,1.069,6.59,3.295,1.187,0.534,20.266666666666666,3.2999999999999994,1.0833333333333333,0.463,0,50.92,0.308,74.0,186.0,23.88,1,Playmaker
Miro Heiskanen,D,D,FIN,277.0,25.16311672683514,20.175270758122743,3.374308062575211,1.6135379061371842,0.293,1.558,5.371,3.529,1.222,0.775,20.175270758122743,3.374308062575211,1.6135379061371842,0.39,0,56.12,0.23,74.0,197.0,25.29,1,Playmaker
Noah Dobson,D,D,CAN,308.0,22.636958874458877,18.873106060606062,2.6825757575757576,1.0812770562770562,0.387,1.377,6.317,5.146,2.263,0.534,18.873106060606062,2.6825757575757576,1.0812770562770562,0.383,0,49.81,0.213,76.0,200.0,24.34,1,Playmaker
Quinn Hughes,D,D,USA,302.0,25.88774834437086,21.35485651214128,3.972406181015452,0.5604856512141281,0.361,2.095,5.618,2.149,0.599,1.036,21.35485651214128,3.972406181015452,0.5604856512141281,0.44,1,53.7,0.214,70.0,180.0,25.82,1,Playmaker
Rasmus Dahlin,D,D,SWE,309.0,24.91003236245955,20.612028047464943,3.2991370010787486,0.9988673139158576,0.553,1.582,6.501,3.609,3.648,0.741,20.612028047464943,3.2991370010787486,0.9988673139158576,0.932,2,52.34,0.287,75.0,204.0,25.5,1,Playmaker
Roman Josi,D,D,CHE,270.0,24.87382716049383,20.454814814814814,3.475185185185185,0.9438271604938272,0.563,1.555,7.755,4.404,1.456,0.876,20.454814814814814,3.475185185185185,0.9438271604938272,0.478,1,52.37,0.321,73.0,201.0,26.52,1,Playmaker
Shayne Gostisbehere,D,D,USA,281.0,19.409786476868327,15.948339264531436,3.163167259786477,0.2982799525504151,0.473,1.639,5.852,3.223,1.595,0.979,15.948339264531436,3.163167259786477,0.2982799525504151,0.434,0,54.16,0.224,71.0,183.0,25.52,1,Playmaker
Shea Theodore,D,D,CAN,239.0,22.100557880055785,19.28347280334728,2.3219665271966523,0.4951185495118549,0.341,1.693,5.668,3.783,0.375,0.545,19.28347280334728,2.3219665271966523,0.4951185495118549,0.31,0,53.78,0.231,74.0,197.0,25.29,1,Playmaker
Victor Hedman,D,D,SWE,266.0,23.22312030075188,18.37512531328321,2.9135964912280707,1.9343984962406011,0.369,1.651,5.672,4.031,2.117,0.748,18.37512531328321,2.9135964912280707,1.9343984962406011,0.594,0,50.93,0.259,79.0,244.0,27.48,1,Playmaker
Vince Dunn,D,D,CAN,283.0,22.600824499411072,19.62391048292108,2.7197879858657243,0.2571260306242638,0.441,1.37,5.488,2.899,1.97,0.6,19.62391048292108,2.7197879858657243,0.2571260306242638,0.777,4,47.39,0.221,72.0,200.0,27.12,1,Playmaker
Zach Werenski,D,D,USA,239.0,25.83598326359832,21.65557880055788,2.823779637377964,1.3566248256624829,0.573,1.642,7.783,3.683,0.748,0.583,21.65557880055788,2.823779637377964,1.3566248256624829,0.297,1,51.86,0.393,74.0,214.0,27.47,1,Playmaker
Aaron Ekblad,D,D,CAN,250.0,22.612,17.403666666666663,2.438,2.770333333333333,0.265,0.955,5.487,3.248,3.566,0.414,17.403666666666663,2.438,2.770333333333333,0.904,2,53.07,0.18,76.0,220.0,26.78,2,Two-Way Player
Alexander Nikishin,D,D,RUS,81.0,18.166666666666664,15.65,1.4333333333333331,1.0833333333333333,0.449,0.897,4.975,3.833,5.382,0.408,15.65,1.4333333333333331,1.0833333333333333,0.407,1,55.83,0.251,75.0,218.0,27.25,2,Two-Way Player
Bowen Byram,D,D,CAN,279.0,21.82598566308244,19.135603345280764,1.2814217443249702,1.4089605734767023,0.384,0.926,3.468,3.616,2.966,0.158,19.135603345280764,1.2814217443249702,1.4089605734767023,0.663,3,47.48,0.233,73.0,205.0,27.04,2,Two-Way Player
Brady Skjei,D,D,USA,325.0,21.879025641025645,18.313076923076924,1.12225641025641,2.443692307692308,0.371,0.844,5.4,2.776,2.211,0.27,18.313076923076924,1.12225641025641,2.443692307692308,0.498,0,49.66,0.221,75.0,210.0,26.25,2,Two-Way Player
Brent Burns,D,D,CAN,328.0,21.10833333333333,16.879166666666666,1.9875,2.2416666666666663,0.399,1.057,6.812,3.137,0.971,0.407,16.879166666666666,1.9875,2.2416666666666663,0.378,0,56.34,0.241,77.0,228.0,27.03,2,Two-Way Player
Brock Faber,D,D,USA,242.0,24.987603305785125,20.60137741046832,1.936501377410468,2.4497245179063363,0.327,0.933,4.306,4.187,1.33,0.367,20.60137741046832,1.936501377410468,2.4497245179063363,0.364,2,50.64,0.204,73.0,200.0,26.38,2,Two-Way Player
Cam Fowler,D,D,USA,313.0,22.831203407880725,18.89307774227902,2.034291799787008,1.9038338658146965,0.235,1.083,3.51,3.207,0.638,0.411,18.89307774227902,2.034291799787008,1.9038338658146965,0.211,0,47.44,0.135,74.0,213.0,27.34,2,Two-Way Player
Charle-Edouard D'Astous,D,D,CAN,70.0,18.73333333333333,17.35,0.95,0.4333333333333333,0.275,1.052,3.66,3.386,4.392,0.092,17.35,0.95,0.4333333333333333,1.6,2,55.3,0.215,74.0,211.0,27.09,2,Two-Way Player
Charlie McAvoy,D,D,USA,260.0,23.82160256410257,18.52474358974359,3.06448717948718,2.232371794871795,0.358,1.414,4.33,4.844,3.982,0.572,18.52474358974359,3.06448717948718,2.232371794871795,0.954,2,50.45,0.258,73.0,211.0,27.84,2,Two-Way Player
